algorithm,descriptors,training_set,word_embedding,unique_q,correct_q,gt_exist,ratio_corr_ext
custom,atm,googleplay,wm,551,32,66,0.48484848484848486
custom,atm,standard,wm,540,38,63,0.6031746031746031
custom,atm,android,wm,581,42,80,0.525
custom,atm,standard,use,618,42,75,0.56
custom,union,standard,wm,575,31,55,0.5636363636363636
custom,atm,blogs,wm,575,37,70,0.5285714285714286
custom,union,googleplay,wm,622,39,61,0.639344262295082
custom,intersection,googleplay,wm,593,33,64,0.515625
custom,craftdroid,googleplay,wm,600,30,65,0.46153846153846156
custom,union,blogs,wm,624,37,66,0.5606060606060606
custom,union,android,wm,614,33,68,0.4852941176470588
custom,craftdroid,standard,wm,552,27,52,0.5192307692307693
atm,atm,blogs,wm,726,22,73,0.3013698630136986
atm,atm,standard,wm,691,18,65,0.27692307692307694
custom,craftdroid,android,wm,592,32,73,0.4383561643835616
atm,atm,googleplay,wm,718,18,76,0.23684210526315788
custom,atm,standard,nnlm,577,38,65,0.5846153846153846
custom,craftdroid,standard,use,574,27,60,0.45
atm,atm,standard,use,767,18,77,0.23376623376623376
custom,union,standard,use,631,43,72,0.5972222222222222
craftdroid,atm,empty,jaccard,251,22,75,0.29333333333333333
custom,intersection,empty,jaccard,252,42,83,0.5060240963855421
craftdroid,intersection,empty,jaccard,267,26,83,0.3132530120481928
atm,intersection,empty,jaccard,266,44,91,0.4835164835164835
custom,atm,empty,jaccard,263,38,81,0.4691358024691358
