algorithm,descriptors,training_set,word_embedding
custom,atm,googleplay,wm
custom,atm,standard,wm
custom,atm,android,wm
custom,atm,standard,use
custom,union,standard,wm
custom,atm,blogs,wm
custom,union,googleplay,wm
custom,intersection,googleplay,wm
custom,craftdroid,googleplay,wm
custom,union,blogs,wm
custom,union,android,wm
custom,craftdroid,standard,wm
atm,atm,blogs,wm
atm,atm,standard,wm
custom,craftdroid,android,wm
atm,atm,googleplay,wm
custom,atm,standard,nnlm
custom,craftdroid,standard,use
atm,atm,standard,use
custom,union,standard,use
craftdroid,atm,empty,jaccard
custom,intersection,empty,jaccard
craftdroid,intersection,empty,jaccard
atm,intersection,empty,jaccard
custom,atm,empty,jaccard
